Created_At,Entities,Id,Language,Place,Source,Text,Username
Sat Oct 05 15:15:43 +0000 2019,"{'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1180501829504782346', 'indices': [117, 140], 'url': 'https://t.co/jXXDtVRtol'}], 'user_mentions': []}",1180501829504782346,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Mukti means liberation. Liberation means essentially to become free from yourself – because you are the only nuisan… https://t.co/jXXDtVRtol,Sadhguru
Sat Oct 05 13:04:20 +0000 2019,"{'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1180468767643488256', 'indices': [117, 140], 'url': 'https://t.co/ZZ7DI1CKDv'}], 'user_mentions': []}",1180468767643488256,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","It’s time timber is treated not as forest produce, but as agricultural produce. This will not only reduce India’s i… https://t.co/ZZ7DI1CKDv",Sadhguru
Sat Oct 05 10:10:38 +0000 2019,"{'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1180425050840657921', 'indices': [117, 140], 'url': 'https://t.co/y6EeO8WloJ'}], 'user_mentions': []}",1180425050840657921,en,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Even to think of a Planet B is shameful. Even if there is a Planet B, we should never step on it because of what we… https://t.co/y6EeO8WloJ",Sadhguru
Sat Oct 05 08:53:43 +0000 2019,"{'hashtags': [{'indices': [23, 38], 'text': 'CauveryCalling'}], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1180405696564609024', 'indices': [117, 140], 'url': 'https://t.co/3TTB9ZtX6Z'}], 'user_mentions': []}",1180405696564609024,en,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Corporates can support #CauveryCalling with minimal expenditure by adopting 500 farmers in at least one Taluk in Ca… https://t.co/3TTB9ZtX6Z,Sadhguru
Sat Oct 05 07:22:26 +0000 2019,"{'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1180382725972221952', 'indices': [117, 140], 'url': 'https://t.co/7Am1MdeEzr'}], 'user_mentions': []}",1180382725972221952,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dear Chitra, we have problems but we also have a beating heart. Glad that you heard the call of Mother Cauvery. Ble… https://t.co/7Am1MdeEzr",Sadhguru
Sat Oct 05 05:58:18 +0000 2019,"{'hashtags': [{'indices': [0, 14], 'text': 'MahatmaGandhi'}], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1180361551271870469', 'indices': [116, 139], 'url': 'https://t.co/CJ2aDOUuYr'}], 'user_mentions': []}",1180361551271870469,en,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","#MahatmaGandhi, an inspiration for the civil rights movement in America has in many ways determined the complexion… https://t.co/CJ2aDOUuYr",Sadhguru
Sat Oct 05 03:52:32 +0000 2019,"{'hashtags': [{'indices': [39, 43], 'text': 'CSR'}], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1180329899120193536', 'indices': [117, 140], 'url': 'https://t.co/4xC4gAnIdV'}], 'user_mentions': []}",1180329899120193536,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",India’s corporates should direct their #CSR towards salvaging the farm distress by supporting agroforestry movement… https://t.co/4xC4gAnIdV,Sadhguru
Sat Oct 05 02:45:06 +0000 2019,"{'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1180312931302596609', 'indices': [117, 140], 'url': 'https://t.co/cHEO8z0Lvd'}], 'user_mentions': []}",1180312931302596609,en,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Responsibility means being able to respond to the best of your ability to whatever situation you may face in your l… https://t.co/cHEO8z0Lvd,Sadhguru
Sat Oct 05 01:43:40 +0000 2019,"{'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1180297469734739968', 'indices': [121, 144], 'url': 'https://t.co/O2u0zZrwZt'}], 'user_mentions': []}",1180297469734739968,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",A land with rich soil &amp; abundant water is the best gift we can offer to future generations. Appreciate your support… https://t.co/O2u0zZrwZt,Sadhguru
Fri Oct 04 17:46:47 +0000 2019,"{'hashtags': [{'indices': [13, 30], 'text': 'InnerEngineering'}], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1180177458315890688', 'indices': [117, 140], 'url': 'https://t.co/ySqYAdFTfJ'}], 'user_mentions': []}",1180177458315890688,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The upcoming #InnerEngineering Completion program in Delhi NCR, will host over 10,000 seekers from 51 countries. Bl… https://t.co/ySqYAdFTfJ",Sadhguru
